      #Energy        TDOS-UP        TDOS-DOWN
       0.87423       0.00000       0.00000
       0.98823       0.00000       0.00000
       1.10223       0.00000       0.00000
       1.21623       0.00000       0.00000
       1.33023       0.00000       0.00000
       1.44423       0.00000       0.00000
       1.55723      -0.00000       0.00000
       1.67123      -0.00000       0.00000
       1.78523      -0.00000       0.00000
       1.89923      -0.00000       0.00000
       2.01323       0.00183      -0.00183
       2.12723       0.01423      -0.01423
       2.24123       0.01236      -0.01236
       2.35523       0.01490      -0.01490
       2.46923       0.01082      -0.01082
       2.58323       0.00283      -0.00283
       2.69723       0.04432      -0.04432
       2.81123       0.03797      -0.03797
       2.92423       0.00396      -0.00396
       3.03823       0.00041      -0.00041
       3.15223       0.04258      -0.04258
       3.26623       0.02807      -0.02807
       3.38023      -0.00021       0.00021
       3.49423       0.02922      -0.02922
       3.60823       0.01462      -0.01463
       3.72223      -0.00059       0.00059
       3.83623       0.01377      -0.01377
       3.95023       0.03180      -0.03180
       4.06423       0.03929      -0.03929
       4.17823       0.00321      -0.00320
